label,text
spam,You have 500 unread messages from singles near you!
ham,Did you watch the sustainability game last night? What a finish!
spam,Flash sale! Nintendo Switch at 99% off. Only 50 left in stock!
ham,"This week in product launch: new features, updates, and community highlights."
ham,Join our upcoming webinar on machine learning on Thursday at 11:00 AM.
ham,Receipt for your Instagram purchase of $14.99 on June 25.
ham,Monthly digest: Top blockchain trends and insights for April.
spam,Amazing news! You qualify for a free Samsung Galaxy. Click to get yours today!
ham,FYI: The requirements document has been approved by management.
ham,Congratulations on completing your sustainability certification!
ham,Sending you the recipe you asked for. Let me know how it turns out!
ham,The library will be closed on Sunday for maintenance.
ham,Could you please review the pull request I submitted for the innovation module?
spam,Congratulations Jessica! You've earned a free vacation to Dubai!
ham,The project management lecture has been moved to the cafeteria for this week.
ham,"This week in AI: new features, updates, and community highlights."
ham,Let's schedule a call to discuss the sales project. Are you free Friday?
ham,Can you send me the spreadsheet by end of day? We need it for the client presentation.
ham,"Hi team, the meeting has been rescheduled to 2:30 PM tomorrow. Please update your calendars."
spam,Final notice: Claim your $5000 prize before it expires today!
spam,Cheap Xbox available now. Order today for express delivery!
ham,The cloud computing deployment was successful. No issues reported so far.
spam,Shocking secret the banks don't want you to know! Click to reveal.
ham,The sales lecture has been moved to Google Meet for this week.
ham,Let's schedule a call to discuss the team building project. Are you free Tuesday?
spam,Act now! This offer expires in 6 hours!
ham,Did you watch the engineering game last night? What a finish!
spam,Action required: Confirm your iCloud account details or lose access.
ham,Can you send me the status report by end of day? We need it for the client presentation.
ham,The library will be closed on Sunday for maintenance.
spam,Shocking secret the banks don't want you to know! Click to reveal.
ham,Happy birthday! Wishing you a wonderful year ahead!
spam,Get anti-aging cream delivered to your door. Lowest prices guaranteed!
spam,Work from home and earn $1500/hour! No skills needed.
ham,I've updated the proposal with the latest changes. Please review and approve.
ham,I saw this article about blockchain and thought you might find it interesting.
ham,Did you watch the team building game last night? What a finish!
spam,Hot singles in your area want to meet you! Click here.
ham,Great work on the budget presentation! The client was very impressed.
ham,Our latest blog post on design is now live. Check it out!
ham,Don't forget to call mom today. It's her anniversary.
spam,Last chance! Buy one get one free on all iPad!
spam,Final notice: Claim your $2000 prize before it expires today!
ham,Our latest blog post on customer feedback is now live. Check it out!
ham,I've updated the contract with the latest changes. Please review and approve.
spam,Unsubscribe? You'll miss out on $1000 worth of free gifts!
spam,You're our 3rd lucky winner this month! Win $1500 now.
spam,Get CBD oil delivered to your door. Lowest prices guaranteed!
ham,The machine learning lecture has been moved to the auditorium for this week.
ham,I found a great sales course online. Want to take it together?
ham,The analytics sprint review is scheduled for Friday at 3:00 PM.
ham,I've updated the presentation slides with the latest changes. Please review and approve.
spam,You're our 1st lucky winner this month! Win $10000 now.
ham,Your grade for the engineering course has been posted. Check the portal.
ham,I've updated the quarterly report with the latest changes. Please review and approve.
spam,Your Spotify subscription gift card code: FREEXXXX. Redeem at prize-claim.org/winner.
spam,Your account has been compromised! Verify your identity at tinyurl.com/xyz.
ham,Thanks for dinner last night! We should do it again sometime.
ham,The library will be closed on Wednesday for maintenance.
ham,Your iCloud refund of $19.99 has been processed.
spam,Your package is waiting! Track it at www.deals99.com/grab. Delivery fee: $19.99.
ham,Your Google account has been successfully created. Welcome!
ham,Your Apple account has been successfully created. Welcome!
spam,You have 500 unread messages from singles near you!
spam,WINNER! You've been selected to receive a $50000 gift card. Claim immediately!
spam,Your Chase subscription gift card code: FREEXXXX. Redeem at prize-claim.org/winner.
spam,Your Instagram subscription gift card code: FREEXXXX. Redeem at bit.ly/abc123.
ham,Please find attached the meeting notes for your review. Let me know if you have any questions.
spam,Hot singles in your area want to meet you! Click here.
ham,Join our upcoming webinar on sustainability on Wednesday at 5:00 PM.
spam,Double your income in 30 days! Secret method revealed. Click now.
spam,Lose 25lbs in 21 days! Revolutionary weight loss pill.
spam,Doctor recommended Viagra now available without prescription!
ham,Your iCloud refund of $29.99 has been processed.
spam,Your credit score is excellent! Get a pre-approved $2000 loan now.
spam,Security alert: Unusual login detected on your Chase account. Verify now.
spam,URGENT: You have won a brand new MacBook! Click the link to claim your prize.
ham,Let me know when you're free this weekend. We could go for a hike.
ham,Great work on the analytics presentation! The client was very impressed.
spam,Click here for a surprise gift! You won't believe what's inside!
spam,Get rich quick! Invest $10000 today and earn $100000 tomorrow!
spam,Your credit score is excellent! Get a pre-approved $1000000 loan now.
ham,Happy birthday! Wishing you a wonderful year ahead!
spam,Click here for a surprise gift! You won't believe what's inside!
spam,Amazing news! You qualify for a free camera. Click to get yours today!
spam,Meet beautiful people in your city tonight! Join free at tinyurl.com/xyz.
ham,The exam schedule has been posted on the portal. Check your dates.
spam,Buy anti-aging cream online at 80% discount! No prescription needed.
spam,"Dear user, your iPhone order is ready. Confirm at secure-verify.net/login."
spam,Congratulations! You have won a $5000 prize! Click here to claim now.
spam,"FREE laptop for the first 100 customers! Hurry, limited stock!"
spam,Lose 30lbs in 14 days! Revolutionary weight loss pill.
ham,Your appointment with Dr. Jennifer is confirmed for Monday at 10:00 AM.
ham,"This week in analytics: new features, updates, and community highlights."
spam,Buy Xanax online at 80% discount! No prescription needed.
spam,Your Instagram subscription gift card code: FREEXXXX. Redeem at www.deals99.com/grab.
spam,You have 5 unread messages from singles near you!
ham,The kids have a school event on Thursday. Can you make it?
ham,Reminder: Your diamond ring warranty expires on May 30.
spam,Your Spotify subscription gift card code: FREEXXXX. Redeem at www.deals99.com/grab.
ham,The project management workshop has 7 seats remaining. Register soon.
spam,Free money! Get $1000 deposited into your account today.
ham,Did you watch the Python game last night? What a finish!
ham,Your monthly PayPal statement is ready. Log in to view.
ham,The project management workshop has 5 seats remaining. Register soon.
spam,URGENT: Your bank account needs verification. Click here immediately.
ham,Congratulations on completing your innovation certification!
spam,"Dear user, your voucher order is ready. Confirm at click-here-now.com/offer."
spam,Get weight loss pills delivered to your door. Lowest prices guaranteed!
ham,Your grade for the project management course has been posted. Check the portal.
spam,Action required: Confirm your Amazon account details or lose access.
spam,WARNING: Your computer has 15 viruses! Download antivirus now!
spam,Special offer: Ambien for only $19.99! Limited time deal.
spam,Free trial of iCloud! No credit card required. Sign up at tinyurl.com/xyz.
ham,Can you pick up voucher from the store on your way home?
ham,Join our upcoming webinar on sustainability on Saturday at 9:00 AM.
ham,The kids have a school event on Tuesday. Can you make it?
ham,Welcome aboard! Your onboarding schedule is attached.
spam,WARNING: Your computer has 10 viruses! Download antivirus now!
ham,Your grade for the sustainability course has been posted. Check the portal.
ham,Your monthly Apple statement is ready. Log in to view.
ham,"Dear students, the Python assignment is due on July 1. No extensions."
spam,Flash sale! laptop at 99% off. Only 50 left in stock!
spam,Your email has won $10000 in our international lottery. Reply to collect.
ham,Your PayPal refund of $4.99 has been processed.
spam,Work from home and earn $10000/hour! No skills needed.
spam,Your package is waiting! Track it at click-here-now.com/offer. Delivery fee: $4.99.
spam,Lose 30lbs in 21 days! Revolutionary weight loss pill.
spam,Act now! This offer expires in 6 hours!
spam,Earn $50000 daily with this simple trick. Guaranteed income!
ham,The training session has been confirmed for March 15 at Zoom. Please RSVP.
spam,Cheap laptop available now. Order today for express delivery!
spam,Flash sale! Xbox at 99% off. Only 5 left in stock!
ham,Community update: We've reached 100 members! Thank you for your support.
ham,Happy birthday! Wishing you a wonderful year ahead!
ham,The customer feedback deployment was successful. No issues reported so far.
spam,You are the lucky winner of our $10000 grand prize! Act fast!
spam,Act now! This offer expires in 48 hours!
spam,Congratulations! You qualify for a $10000 loan at 0% interest!
ham,Registration for next semester opens on December 1. Plan your courses.
spam,Your email has won $1000000 in our international lottery. Reply to collect.
ham,Reminder: Our dentist appointment is on Wednesday at 2:30 PM.
spam,WINNER! You've been selected to receive a $1500 gift card. Claim immediately!
ham,The training session has been confirmed for December 1 at the auditorium. Please RSVP.
ham,The kids have a school event on Monday. Can you make it?
spam,Act now! This offer expires in 24 hours!
spam,Reply WIN to this message and get a free TV instantly!
ham,"This week in machine learning: new features, updates, and community highlights."
spam,Act now! This offer expires in 4 hours!
ham,I found a great quarterly report course online. Want to take it together?
spam,Your email has won $50000 in our international lottery. Reply to collect.
ham,Join our upcoming webinar on innovation on Tuesday at 3:30 PM.
ham,The project deadline has been extended to April 20. Please plan accordingly.
spam,Your email has won $100000 in our international lottery. Reply to collect.
spam,Get supplements delivered to your door. Lowest prices guaranteed!
ham,Did you watch the analytics game last night? What a finish!
ham,We need to renew the car insurance by October 20. Can you handle it?
spam,Congratulations John! You've earned a free vacation to Bali!
ham,Don't forget to call mom today. It's her anniversary.
spam,Get rich quick! Invest $50000 today and earn $50000 tomorrow!
ham,I found a great customer feedback course online. Want to take it together?
spam,Important: Update your Wells Fargo password now to avoid account closure.
spam,"FREE camera for the first 100 customers! Hurry, limited stock!"
spam,Reply WIN to this message and get a free voucher instantly!
spam,Amazing news! You qualify for a free TV. Click to get yours today!
spam,Free trial of Wells Fargo! No credit card required. Sign up at bit.ly/abc123.
spam,Amazing news! You qualify for a free Nintendo Switch. Click to get yours today!
spam,Hot singles in your area want to meet you! Click here.
spam,Your Amazon payment failed. Update billing info at bit.ly/abc123.
spam,Double your income in 30 days! Secret method revealed. Click now.
spam,You've been specially selected for this exclusive offer. Don't miss out!
ham,Please submit your research proposal by March 15. Format guidelines attached.
ham,Congratulations on completing your machine learning certification!
spam,Your Facebook account will be suspended. Verify at bit.ly/abc123 immediately.
ham,I found a great design course online. Want to take it together?
ham,Password changed successfully for your Dropbox account.
spam,Your package is waiting! Track it at click-here-now.com/offer. Delivery fee: $9.99.
ham,Your monthly LinkedIn statement is ready. Log in to view.
spam,Act now! This offer expires in 48 hours!
ham,Community update: We've reached 5 members! Thank you for your support.
spam,Act now! This offer expires in 48 hours!
spam,Free trial of Spotify! No credit card required. Sign up at prize-claim.org/winner.
ham,Thanks for sending the design document. Everything looks good to me.
spam,Security alert: Unusual login detected on your Microsoft account. Verify now.
ham,Welcome aboard! Your onboarding schedule is attached.
ham,Office hours this week: Saturday from 10:00 AM to 12:00 PM. Room 360.
ham,Welcome aboard! Your onboarding schedule is attached.
spam,Congratulations! You qualify for a $500 loan at 0% interest!
ham,Can you send me the budget proposal by end of day? We need it for the client presentation.
spam,Your LinkedIn subscription gift card code: FREEXXXX. Redeem at click-here-now.com/offer.
spam,Free money! Get $100000 deposited into your account today.
ham,Please complete the quarterly performance review by August 3.
ham,Welcome aboard! Your onboarding schedule is attached.
spam,Security alert: Unusual login detected on your Microsoft account. Verify now.
spam,Final notice: Claim your $2000 prize before it expires today!
spam,Doctor recommended vitamins now available without prescription!
ham,FYI: The proposal has been approved by management.
ham,Happy birthday! Wishing you a wonderful year ahead!
spam,You have 100 unread messages from singles near you!
ham,The kids have a school event on Saturday. Can you make it?
ham,Thanks for dinner last night! We should do it again sometime.
ham,Your appointment with Dr. Mike is confirmed for Thursday at 5:00 PM.
spam,Action required: Confirm your Netflix account details or lose access.
ham,HR has updated the leave policy. Check the intranet for details.
ham,Your Apple account has been successfully created. Welcome!
spam,Buy now and save up to 90%! Unbelievable deals at tinyurl.com/xyz.
ham,Let me know when you're free this weekend. We could go for a hike.
spam,Congratulations! You have won a $1500 prize! Click here to claim now.
spam,Get Viagra delivered to your door. Lowest prices guaranteed!
spam,Amazing news! You qualify for a free gift card. Click to get yours today!
spam,Hot singles in your area want to meet you! Click here.
ham,Your Chase subscription will renew on June 25.
spam,Make $50000 per week working from home! No experience needed. Sign up now.
spam,This is not a joke! You really won! Claim at click-here-now.com/offer.
ham,The sales sprint review is scheduled for Friday at 3:30 PM.
ham,FYI: The invoice has been approved by management.
ham,I'm running a bit late. Will be there in about 10 minutes.
ham,I'll be out of office from May 30 to May 10. Contact Mike for urgent matters.
spam,Make $1000 per week working from home! No experience needed. Sign up now.
spam,BREAKING: New government grant of $2000 available. Apply now!
ham,Your appointment with Dr. Amanda is confirmed for Sunday at 2:00 PM.
spam,Act now! This offer expires in 12 hours!
ham,Did you watch the product launch game last night? What a finish!
spam,Your Chase payment failed. Update billing info at tinyurl.com/xyz.
spam,Reply WIN to this message and get a free headphones instantly!
ham,Your appointment with Dr. Jessica is confirmed for Wednesday at 5:00 PM.
spam,Important: Update your Bank of America password now to avoid account closure.
spam,Buy supplements online at 80% discount! No prescription needed.
spam,Buy now and save up to 90%! Unbelievable deals at www.deals99.com/grab.
ham,Can we reschedule our 2:00 PM meeting? I have a conflict.
spam,Amazing news! You qualify for a free headphones. Click to get yours today!
ham,"This week in cloud computing: new features, updates, and community highlights."
ham,Congratulations on completing your engineering certification!
ham,Your Instagram account has been successfully created. Welcome!
ham,The project deadline has been extended to May 30. Please plan accordingly.
spam,Buy now and save up to 90%! Unbelievable deals at prize-claim.org/winner.
ham,Let's schedule a call to discuss the design project. Are you free Sunday?
spam,This is not a joke! You really won! Claim at prize-claim.org/winner.
ham,Your flight AA214 to Bahamas departs at 3:30 PM on August 3.
ham,FYI: The presentation slides has been approved by management.
spam,SALE SALE SALE! Everything must go! Up to 95% off!
ham,The exam schedule has been posted on the portal. Check your dates.
spam,Act now! This offer expires in 12 hours!
ham,HR has updated the leave policy. Check the intranet for details.
spam,Final notice: Claim your $1000000 prize before it expires today!
ham,Can we reschedule our 10:30 AM meeting? I have a conflict.
spam,You are the lucky winner of our $100000 grand prize! Act fast!
ham,Password changed successfully for your Google account.
spam,You are the lucky winner of our $10000 grand prize! Act fast!
spam,Double your income in 30 days! Secret method revealed. Click now.
spam,URGENT: Your bank account needs verification. Click here immediately.
ham,Welcome aboard! Your onboarding schedule is attached.
ham,The town hall has been confirmed for July 15 at Building B. Please RSVP.
ham,The data science deployment was successful. No issues reported so far.
ham,I'll be out of office from June 25 to August 10. Contact Robert for urgent matters.
ham,I found a great budget course online. Want to take it together?
spam,Cheap TV available now. Order today for express delivery!
ham,Reminder: Your designer bag warranty expires on March 15.
ham,I found a great analytics course online. Want to take it together?
spam,Final notice: Claim your $2000 prize before it expires today!
ham,Great work on the innovation presentation! The client was very impressed.
spam,"Dear user, your iPhone order is ready. Confirm at secure-verify.net/login."
ham,Your Bank of America order #689904 has been shipped. Estimated delivery: June 10.
spam,URGENT: You have won a brand new TV! Click the link to claim your prize.
spam,WARNING: Your computer has 10 viruses! Download antivirus now!
spam,Congratulations Robert! You've earned a free vacation to Cancun!
spam,Action required: Confirm your Apple account details or lose access.
spam,Security alert: Unusual login detected on your Bank of America account. Verify now.
ham,Welcome aboard! Your onboarding schedule is attached.
spam,Congratulations! You qualify for a $100000 loan at 0% interest!
spam,Final notice: Claim your $10000 prize before it expires today!
spam,Amazing news! You qualify for a free PS5. Click to get yours today!
ham,Just checking in. How are you doing? It's been a while since we caught up.
ham,Hey! Are you coming to Jessica's birthday party on Sunday?
ham,Thanks for dinner last night! We should do it again sometime.
ham,I'll be out of office from April 20 to August 10. Contact Jessica for urgent matters.
spam,URGENT: Your bank account needs verification. Click here immediately.
spam,BREAKING: New government grant of $1000 available. Apply now!
spam,Hot singles in your area want to meet you! Click here.
ham,Let's schedule a call to discuss the team building project. Are you free Thursday?
ham,The team lunch has been confirmed for June 25 at the cafeteria. Please RSVP.
ham,I'm running a bit late. Will be there in about 10 minutes.
spam,Security alert: Unusual login detected on your Chase account. Verify now.
ham,Your grade for the machine learning course has been posted. Check the portal.
ham,Congratulations on completing your project management certification!
spam,Flash sale! PS5 at 99% off. Only 3 left in stock!
ham,Did you watch the data science game last night? What a finish!
ham,The kids have a school event on Sunday. Can you make it?
ham,Reminder: Team standup at 5:00 PM. Please prepare your status updates.
ham,Your iCloud refund of $9.99 has been processed.
spam,Get rich quick! Invest $100000 today and earn $5000 tomorrow!
spam,Exclusive deal: Get Samsung Galaxy for FREE! Just pay shipping.
spam,Important: Update your iCloud password now to avoid account closure.
ham,Password changed successfully for your Chase account.
spam,Buy now and save up to 90%! Unbelievable deals at tinyurl.com/xyz.
ham,FYI: The design document has been approved by management.
spam,Get rich quick! Invest $1500 today and earn $50000 tomorrow!
ham,Could you please review the pull request I submitted for the budget module?
spam,Congratulations! You qualify for a $5000 loan at 0% interest!
spam,Hot singles in your area want to meet you! Click here.
ham,Your iCloud subscription will renew on December 1.
ham,Your flight AA214 to Paris departs at 11:00 AM on July 15.
ham,Don't forget to call mom today. It's her anniversary.
ham,Office hours this week: Wednesday from 5:00 PM to 6:00 PM. Room 113.
spam,Your Amazon payment failed. Update billing info at www.deals99.com/grab.
spam,Your credit score is excellent! Get a pre-approved $500 loan now.
spam,Meet beautiful women in your city tonight! Join free at www.deals99.com/grab.
ham,Registration for next semester opens on July 15. Plan your courses.
spam,Doctor recommended anti-aging cream now available without prescription!
ham,The design lecture has been moved to the main hall for this week.
ham,Our latest blog post on product launch is now live. Check it out!
ham,Let's schedule a call to discuss the quarterly report project. Are you free Saturday?
spam,Important: Update your Dropbox password now to avoid account closure.
spam,You're our 10th lucky winner this month! Win $100000 now.
ham,Join our upcoming webinar on cloud computing on Monday at 2:30 PM.
spam,Your account has been compromised! Verify your identity at tinyurl.com/xyz.
spam,Your Google payment failed. Update billing info at tinyurl.com/xyz.
spam,Your Google subscription gift card code: FREEXXXX. Redeem at tinyurl.com/xyz.
spam,Free money! Get $2000 deposited into your account today.
spam,Action required: Confirm your Amazon account details or lose access.
spam,Special offer: Xanax for only $9.99! Limited time deal.
ham,FYI: The status report has been approved by management.
ham,Your appointment with Dr. Daniel is confirmed for Wednesday at 11:00 AM.
spam,Final notice: Claim your $100000 prize before it expires today!
spam,Lose 15lbs in 30 days! Revolutionary weight loss pill.
ham,The library will be closed on Saturday for maintenance.
spam,Buy now and save up to 90%! Unbelievable deals at bit.ly/abc123.
ham,Please find attached the status report for your review. Let me know if you have any questions.
ham,Reminder: Your headphones warranty expires on October 20.
spam,Congratulations James! You've earned a free vacation to Caribbean!
ham,HR has updated the leave policy. Check the intranet for details.
ham,Our latest blog post on marketing strategy is now live. Check it out!
ham,I've updated the quarterly report with the latest changes. Please review and approve.
spam,Final notice: Claim your $50000 prize before it expires today!
spam,Congratulations! You qualify for a $5000 loan at 0% interest!
spam,Important: Update your Dropbox password now to avoid account closure.
spam,Act now! This offer expires in 12 hours!
spam,Free money! Get $5000 deposited into your account today.
ham,Reminder: Team standup at 3:00 PM. Please prepare your status updates.
spam,Amazing news! You qualify for a free Nintendo Switch. Click to get yours today!
ham,I saw this article about marketing strategy and thought you might find it interesting.
spam,WARNING: Your computer has 7 viruses! Download antivirus now!
ham,The library will be closed on Monday for maintenance.
ham,"Hi, I wanted to follow up on our conversation about the engineering initiative."
ham,I found a great design course online. Want to take it together?
spam,Exclusive deal: Get headphones for FREE! Just pay shipping.
ham,Monthly digest: Top blockchain trends and insights for April.
spam,Your credit score is excellent! Get a pre-approved $2000 loan now.
spam,Your credit score is excellent! Get a pre-approved $10000 loan now.
spam,You have 3 unread messages from singles near you!
ham,Don't forget to call mom today. It's her anniversary.
ham,Our latest blog post on product launch is now live. Check it out!
ham,Happy birthday! Wishing you a wonderful year ahead!
spam,BREAKING: New government grant of $100000 available. Apply now!
ham,"Hi, I wanted to follow up on our conversation about the project management initiative."
ham,Please find attached the budget proposal for your review. Let me know if you have any questions.
ham,The project deadline has been extended to April 20. Please plan accordingly.
spam,WARNING: Your computer has 10 viruses! Download antivirus now!
spam,Buy supplements online at 80% discount! No prescription needed.
spam,Flash sale! voucher at 99% off. Only 10 left in stock!
spam,Reply WIN to this message and get a free Samsung Galaxy instantly!
spam,Your Facebook account will be suspended. Verify at prize-claim.org/winner immediately.
ham,I found a great project management course online. Want to take it together?
ham,The exam schedule has been posted on the portal. Check your dates.
ham,We need to renew the car insurance by May 30. Can you handle it?
spam,Reply WIN to this message and get a free voucher instantly!
ham,Can we reschedule our 2:30 PM meeting? I have a conflict.
spam,Security alert: Unusual login detected on your Netflix account. Verify now.
spam,Your Chase payment failed. Update billing info at click-here-now.com/offer.
